epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.05,1.53373,5.33448,1.32599,0.539,0.21053,0.23297,0.1249,2.02142,8.59554,1.41366,0.000648649,0.000648649,0.000648649
2,316.911,1.61813,1.96607,1.2958,0.05207,0.16667,0.01467,0.00749,2.20448,8.58715,1.57407,0.00129361,0.00129361,0.00129361
3,458.839,1.69511,1.60366,1.38107,0.21809,0.09649,0.06299,0.03108,2.59284,6.42349,1.83595,0.00191658,0.00191658,0.00191658
4,590.926,1.73141,1.51972,1.38429,0.0083,0.01754,0.0004,0.00019,3.80255,21.3454,4.59263,0.001901,0.001901,0.001901
5,722.156,1.65129,1.28487,1.33961,0.00047,0.07895,0.00021,0.00013,3.80627,991.942,8.90616,0.001868,0.001868,0.001868
6,856.439,1.66884,1.2939,1.32605,0.1647,0.14035,0.09864,0.05363,2.54841,7.57785,2.87509,0.001835,0.001835,0.001835
7,989.081,1.56858,1.18213,1.30632,0.55618,0.16667,0.20251,0.10721,2.15517,4.95377,1.61146,0.001802,0.001802,0.001802
8,4154.96,1.54842,1.11158,1.32375,0.48991,0.42967,0.42122,0.18889,2.20706,1.84484,1.45112,0.001769,0.001769,0.001769
9,6224.19,1.56753,1.17227,1.32676,0.59075,0.4386,0.47553,0.17382,2.2872,4.55355,1.41882,0.001736,0.001736,0.001736
10,7364.27,1.57685,1.07256,1.25939,0.63785,0.37719,0.40902,0.18173,2.11769,1.85193,1.38071,0.001703,0.001703,0.001703
11,7508.15,1.55701,1.05753,1.2813,0.68818,0.51754,0.5369,0.22422,2.10392,1.59404,1.36041,0.00167,0.00167,0.00167
12,7669.37,1.59081,1.12933,1.26516,0.64804,0.58772,0.57104,0.25704,2.04553,1.50544,1.31308,0.001637,0.001637,0.001637
13,8746.03,1.45842,1.06211,1.26122,0.55141,0.52837,0.49519,0.21985,2.06278,1.36155,1.33555,0.001604,0.001604,0.001604
14,8890.58,1.53453,1.00026,1.27271,0.7017,0.54386,0.62161,0.25583,2.01749,1.40397,1.28354,0.001571,0.001571,0.001571
15,9028.87,1.46462,0.99378,1.19279,0.83929,0.55263,0.64083,0.27103,2.01528,1.35869,1.24471,0.001538,0.001538,0.001538
16,9167.34,1.40416,0.96523,1.20661,0.70626,0.5614,0.61346,0.28914,1.9597,1.32097,1.28871,0.001505,0.001505,0.001505
17,9311.66,1.44793,0.9355,1.23181,0.72721,0.60526,0.64178,0.27614,2.0743,1.41505,1.30494,0.001472,0.001472,0.001472
18,11309,1.40363,0.8624,1.19968,0.82077,0.62281,0.68597,0.31935,1.83735,1.31842,1.26444,0.001439,0.001439,0.001439
19,12080.3,1.41391,0.86927,1.17047,0.75739,0.64035,0.68316,0.29355,1.98551,1.25692,1.29738,0.001406,0.001406,0.001406
20,12223.6,1.38931,0.85991,1.17459,0.79622,0.64035,0.70098,0.29017,1.97576,1.18355,1.26568,0.001373,0.001373,0.001373
21,12355.6,1.34674,0.85268,1.15676,0.67396,0.65789,0.64927,0.29037,2.01015,1.14457,1.26962,0.00134,0.00134,0.00134
22,12483.1,1.39076,0.86728,1.22279,0.81583,0.5614,0.68073,0.26344,2.14441,1.29546,1.31895,0.001307,0.001307,0.001307
23,12613.1,1.33165,0.84054,1.20307,0.83003,0.64035,0.70858,0.28972,2.03952,1.1721,1.30769,0.001274,0.001274,0.001274
